2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,1,1,1,0,0,B
2,0,2,11,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,22,0,W
2,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,11,2,0,1,0,0,0,1,0,0,0,0,0,0,0,W
2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,22,1,B
0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,11,0,2,0,0,0,0,0,0,0,1,22,0,0,0,W
0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,11,0,0,B
2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1,0,0,0,0,0,0,0,W
2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,W
11,2,2,2,2,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,B
2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,B
2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,W
2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,B
